id,title,link,district,bizcircle,tagList,onsale,onrent,year,housetype,cost,service,company,building_num,house_num,price,city,validdate
1111027374994,"后鼓楼苑胡同",https://bj.lianjia.com/xiaoqu/1111027374994/,"东城","地安门","近地铁8号线什刹海站",0,0,"1960年建成","板楼/平房","暂无信息","无物业管理服务","无开发商","20栋","100户","暂无",bj,"2019-11-08 16:41:22.107823"
1111027375070,"后局大院胡同",https://bj.lianjia.com/xiaoqu/1111027375070/,"东城","东四","近地铁6号线南锣鼓巷站",0,0,"1960年建成","平房","暂无信息","暂无信息","无开发商","11栋","37户","暂无",bj,"2019-11-08 16:42:26.983787"
1111041200150,"东板桥西巷",https://bj.lianjia.com/xiaoqu/1111041200150/,"东城","东四","",0,0,"1980年建成","平房","暂无信息","无物业管理服务","无开发商","5栋","21户","暂无",bj,"2019-11-08 16:42:26.984138"
1111027373904,"东四五条",https://bj.lianjia.com/xiaoqu/1111027373904/,"东城","东四","近地铁5号线张自忠路站",0,0,"1955年建成","板楼/平房","0.5元/平米/月","北京商建房地产开发公司物业管理中心","北京市城市改建综合开发总公司","81栋","299户",133529,bj,"2019-11-08 16:42:26.984615"
1111027377747,"罗车胡同",https://bj.lianjia.com/xiaoqu/1111027377747/,"东城","东四","近地铁5号线北新桥站",0,0,"1988年建成","平房","暂无信息","无物业管理服务","无开发公司","73栋","292户","暂无",bj,"2019-11-08 16:42:26.985488"
1111027378680,"碾子胡同",https://bj.lianjia.com/xiaoqu/1111027378680/,"东城","东四","近地铁6号线南锣鼓巷站",0,0,"1980年建成","平房","暂无信息","暂无信息","无开发商","64栋","261户","暂无",bj,"2019-11-08 16:42:26.985631"
1111027381627,"育芳胡同",https://bj.lianjia.com/xiaoqu/1111027381627/,"东城","东四","近地铁5号线张自忠路站",0,0,"1980年建成","塔板结合","暂无信息","暂无信息","无开发商","45栋","180户","暂无",bj,"2019-11-08 16:42:26.985790"
1111027376430,"慈慧胡同",https://bj.lianjia.com/xiaoqu/1111027376430/,"东城","东四","近地铁6号线南锣鼓巷站",0,0,"暂无信息","未知类型","暂无信息","暂无信息","暂无信息","45栋","180户","暂无",bj,"2019-11-08 16:42:26.988809"
1111027373829,"东四二条11号院",https://bj.lianjia.com/xiaoqu/1111027373829/,"东城","东四","近地铁5号线东四站",0,0,"1985年建成","板楼","暂无信息","暂无信息","单位自建","2栋","90户",114656,bj,"2019-11-08 16:42:26.989721"
1111027373899,"东四十条甲100号院",https://bj.lianjia.com/xiaoqu/1111027373899/,"东城","东四","近地铁5号线张自忠路站",0,1,"1990年建成","塔楼","0.9元/平米/月","暂无信息","北京市城市改建综合开发总公司","1栋","128户",94418,bj,"2019-11-08 16:42:26.989846"
1111027373901,"东四十一条",https://bj.lianjia.com/xiaoqu/1111027373901/,"东城","东四","近地铁2号线东四十条站",0,1,"1958年建成","板楼/塔板结合/平房","暂无信息","无物业管理服务","北京市东城区住宅建设开发公司","74栋","312户",104116,bj,"2019-11-08 16:42:26.989996"
1111027377084,"九道湾东巷",https://bj.lianjia.com/xiaoqu/1111027377084/,"东城","东四","近地铁5号线北新桥站",0,0,"1980年建成","平房","0.5元/平米/月","暂无信息","房管所代管物业","6栋","21户",139415,bj,"2019-11-08 16:42:26.990139"
1111041864329,"东黄城根北街40号院",https://bj.lianjia.com/xiaoqu/1111041864329/,"东城","东四","近地铁5号线东四站",0,1,"1985年建成","板楼","0.5元/平米/月","无物业管理服务","北京市房屋管理局","2栋","148户",100662,bj,"2019-11-08 16:42:26.990922"
11000000000130,"北京国际饭店",https://bj.lianjia.com/xiaoqu/11000000000130/,"东城","建国门内","",0,0,"暂无信息","未知类型","暂无信息","暂无信息","暂无信息","1栋","21户","暂无",bj,"2019-11-08 16:44:34.460963"
1111027378901,"庆平胡同",https://bj.lianjia.com/xiaoqu/1111027378901/,"东城","建国门外","近地铁1号线东单站",0,0,"1960年建成","平房","1.5元/平米/月","街道办事处（委员会）代管物业","无开发商","18栋","74户","暂无",bj,"2019-11-08 16:44:52.478600"
1111027376324,"船板胡同",https://bj.lianjia.com/xiaoqu/1111027376324/,"东城","建国门外","近地铁1号线王府井站",0,0,"1960年建成","平房","0.8元/平米/月","暂无信息","无","60栋","287户","暂无",bj,"2019-11-08 16:44:52.479400"
1111027374036,"大羊毛胡同",https://bj.lianjia.com/xiaoqu/1111027374036/,"东城","建国门外","近地铁2号线北京站站",0,0,"暂无信息","未知类型","暂无信息","暂无信息","暂无信息","6栋","24户","暂无",bj,"2019-11-08 16:44:52.479730"
1111027381485,"永安东里",https://bj.lianjia.com/xiaoqu/1111027381485/,"朝阳","建国门外","近地铁1号线永安里站",0,0,"1967年建成","板楼","1元/平米/月","国贸物业酒店管理有限公司","七台河市贝舟投资咨询有限公司","13栋","704户","暂无",bj,"2019-11-08 16:44:52.479988"
1111027381511,"永安西里",https://bj.lianjia.com/xiaoqu/1111027381511/,"朝阳","建国门外","近地铁1号线永安里站",0,0,"1962年建成","板楼","暂无信息","暂无信息","暂无信息","5栋","254户","暂无",bj,"2019-11-08 16:44:52.480255"
